headline,label,label_name,source
LendingTree price target cut to $350 from $400 at SunTrust Robinson Humphrey,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Mizuho cuts XLNX target on near-term headwinds,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
MPLX cut at Credit Suisse on potential dilution from Marathon strategic review,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Netflix downgraded to underperform at Wells Fargo,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
NortonLifeLock stock price target cut to $18 from $25 at Deutsche Bank,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Norwegian Cruise stock price target cut to $48 from $55 at CFRA,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Novus Therapeutics stock price target cut to $2.50 from $3.75 at Ascendiant Capital,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Nutrien stock price target cut to $54 vs. $55 at BofA Merrill Lynch,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Okta -2% on valuation downgrade,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Solarworlds stock price target cut to $23 vs. $24 at Instinet,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Trendforce cuts iPhone estimate after Foxconn delay,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"Wayfair price target lowered to $110 from $120 at Stifel, buy rating maintained",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
WWE stock price target cut to $58 from $92 at MKM Partners,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"$ABEO as expected, keeps going higher. Cantor doubled its price target this morning to $4",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$CACI - CACI gains a bull on growth acceleration https://t.co/VSXcxKpgly,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$CNHI - CNH Industrial upped to Buy at Deutsche Bank on valuation https://t.co/w8VWmkTwAb,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
"$DVN $HES $VET - Devon Energy, Hess upgraded at J.P. Morgan on improved E&P outlook https://t.co/ULkUan1Vkq",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$ENR - Energizer shakes off JPMorgan's bear call https://t.co/w83qnp2ni5,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$GOOS - Baird bullish on beat-up Canada Goose https://t.co/lMwTKDcG5R,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$NKE - BMO Capital joins Nike bull camp https://t.co/diInCmHUi5,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
"$OIH $BKR $NOV - Buy oil service firms, Bernstein says after seven-year bearish view https://t.co/FFUM7WlJIZ",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$SMPQY $HSIC $XRAY - Goldman ups view on Henry Schein in premarket analyst action https://t.co/ZjKejttior,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$STML: Alliance Global Partners starts at Buy https://t.co/MCyfTsXc2N,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$URBN - Urban Outfitters stands out in mall sector - BofA https://t.co/pvig3M420p,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$ZYME: H.C. Wainwright starts at Buy,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Adobe price target raised to $350 vs. $320 at Canaccord,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
AM Best Revises Outlooks to Positive for Pacífico Compañía de Seguros y Reaseguros S.A. https://t.co/BGvmfeHKod https://t.co/gvtIQzMVbf,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
AMD +1.3% after Cowen's target lift,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
"Applied Materials, Inc. Reported Earnings Last Week And Analysts Are Already Upgrading Their Estimates",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
"Arch Coal rated Buy at Benchmark, seeing opportunity after selloff",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Autodesk stock price target raised to $162 from $149 at Wedbush,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Avnet stock price target raised to $37 vs. $35 at SunTrust Robinson Humphrey,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Boeing started at buy with $375 stock price target at Benchmark,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
BofA sees 'solid demand backdrop' for D.R. Horton in 2020,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Broadcom stock price target raised to $361 vs. $322 at SunTrust Robinson Humphrey,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Cantor sees 19% upside in J&J in premarket analyst action,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Champions Oncology started at speculative buy with $11 stock price target at Benchmark,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Citi raises Alphabet on margin potential,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Citigroup stock price target raised to $127 from $124 at Oppenheimer,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
"ETF assets to surge tenfold in 10 years to $50 trillion, Bank of America predicts",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
GE upgraded from Sell by longtime bear,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Goldman Sachs stock price target raised to $367 from $358 at Oppenheimer,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
GrubHub stock price target raised to $50 from $40 at Stifel Nicolaus,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Halliburton started at buy with $26 stock price target at Deutsche Bank,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Helen of Troy started at outperform with $210 stock price target at Oppenheimer,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Highlight: Edward Jones Sr. Equity Analyst Jennifer Roland on ExxonMobil reducing 2020 Capex by 30%: “Definitely a… https://t.co/dH0xlJujc1,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Humana stock price target raised to $370 from $350 at SunTrust RH,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
JMP Securities upgrades snap to outperform with $20 pt,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Liberty Global PLC maintained as buy with $32 price target at Benchmark,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Lululemon Athletica price target raised to $255 from $220 at CFRA,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Lumentum initiated as positive at Susquehanna,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Markel Corporation Beat Analyst Estimates: See What The Consensus Is Forecasting For Next Year,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
"Mednax upgraded to buy from hold at Stifel, price target raised to $33 from $25",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
"Model N upgraded to overweight from neutral at JPMorgan, price target raised to $36 from $30",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Morgan Stanley sees GM doubling in bull case scenario,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Motorola Solutions stock fair value estimate raised to $192 from $167 at MKM Partners,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
New for subscribers:  Analysts continue to upgrade stocks like Tesla and eBay on hopes the rebound is for real… https://t.co/Mku8heEOR2,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Omnicell stock price target raised to $96 vs. $90 at Benchmark,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Peloton bulls defend the upside case,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Piper Jaffray analyst Erinn Murphy reiterated an Overweight rating and $44.00 price target on Crocs (NASDAQ: $CROX)… https://t.co/iVlcTMWm1r,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Progyny started at overweight with $26 stock price target at J.P. Morgan,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Snap Analyst Projects 37% Revenue Growth In 2020,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Spirit Airlines stock price target raised to $55 from $49 at Deutsche Bank,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
State Street stock price target raised to $84 from $73 at Buckingham,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Stock Market Update: AMD's price target raised to $47 at Cowen,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Synaptics stock price target raised to $76 from $60 at Susquehanna,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
TechnipFMC started at buy with $33 stock price target at Deutsche Bank,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Tesla stock price target raised to $290 from $260 at Deutsche Bank,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
TJX stock price target raised to $70 from $62 at MKM Partners,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Twitter upgraded to positive from neutral at Susquehanna,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Uber stock price target raised to $42 from $31 at Susquehanna,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Uber stock price target raised to $48 from $46 at HSBC Global,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
"UBS Upgrades Hasbro As Stock Price Bakes In Tariffs, Slow Holiday",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
UnitedHealth stock price target raised to $335 from $310 at SunTrust RH,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Vertex Pharmaceuticals stock price target raised to $245 from $235 at BofA Merrill Lynch,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
Xilinx stock price target raised to $97 vs. $94 at SunTrust Robinson Humphrey,2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
AM Best Revises Outlooks to Stable for Sublimity Insurance Company https://t.co/WPcVIMko76 https://t.co/glnxmA3iIv,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Analyst: Amazon Blocking FedEx Ground Good News For UPS,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Analysts Expect Breakeven For China Online Education Group (NYSE:COE),1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Crown Holdings, Inc. Full-Year Results: Here's What Analysts Are Forecasting For Next Year",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Here are the best analyst calls of the week on Wall Street including Disney and a satellite play https://t.co/u9r1QPQli5,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Little impact on Netflix from Disney Plus launch - Credit Suisse,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Mitek bull calls pullback 'an overreaction',1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Peabody Energy started at hold at Benchmark,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Skechers U.S.A., Inc. Annual Results: Here's What Analysts Are Forecasting For Next Year",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
T. Boone Pickens' BP Capital Adds 3 Energy Stocks to Portfolio,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Tenable Holdings, Inc. Just Released Its Third-Quarter And Analysts Have Been Updating Their Estimates",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Top Analyst Upgrades and Downgrades: Cardinal Health, Domino’s, FedEx, Ford, GE, Grubhub, HSBC, Marvell, Twitter, Uber and More",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Tyson Foods, Inc. First-Quarter Results Just Came Out: Here's What Analysts Are Forecasting For Next Year",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Wayfair initiated as hold with $95 price target at SunTrust Robinson Humphrey,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Central bank 'collateral damage' is skewing financial markets, one economist says https://t.co/sshC7mEqzk",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
China central bank warns high financial risks amid rising economic headwinds - Reuters https://t.co/p26nFHoGg5,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
ECB data show eurozone banks had weak profits before coronavirus https://t.co/QI7pbqPGkG,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Fed's Williams says U.S. economy is clearly facing several challenges,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"Former Federal Reserve Chairman Ben Bernanke says he doesn't see a quick, sharp rebound in the economy after its pr… https://t.co/pu15VlJ4IO",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Jerome Powell comes close to acknowledging that the Federal Reserve may not have the firepower to fight the next re… https://t.co/UD2rqlD6SD,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"No, The Fed Won't ""Save The Market"" - Here's Why  https://t.co/Ibq99qWSFz",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"""There is every reason to believe that the economic rebound, when it comes, can be robust,"" Fed Chair Jerome Powell… https://t.co/Ovi6BRM3TK",2,positive,zeroshot/twitter-financial-news-sentiment (MIT)
$ECONX: Federal Reserve announces extensive new measures to support the economy https://t.co/Gf6CfThO7r,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Commercial and industrial loans at all commercial banks climb by $105.8 billion to $2.845 trillion in the week endi… https://t.co/jTTkUE4l0L,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed surprises market with program to support corporate bonds amid coronavirus pandemic https://t.co/NLeJwjmyXw,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Highlight: The Fed has launched an unprecedented round of asset purchases. ""The idea here is the Federal Reserve is… https://t.co/9J31vhPbUG",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
The World Bank plans to lend Uganda $1.9 billion to help finance the East African nation's budget deficit https://t.co/Yxiz7BduSw,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"""We encourage families to explore virtual #financialliteracy resources. The Federal Reserve Bank of Richmond create… https://t.co/heJwnQ4RoN",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Africa-Europe Alliance: Denmark provides 10 million for sustainable development under the EU External Investment P… https://t.co/fdp58lt4xu,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Bank agencies announced they'll temporarily lower the community bank leverage ratio to 8%. The rule change - requir… https://t.co/m6N7S7zEwo,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Bank of Ireland : Mortgage Bank - 7 KB #BankofIreland #Stock #MarketScreener https://t.co/1UOheYSgzq https://t.co/EmpEi8jWMG,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Bank of Jamaica 14-Day Repo Auction Announcement -24 February 2020 #Stock #MarketScreener https://t.co/aLTELpPUc3 https://t.co/ZFCCNZVhWK,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Bank of Jamaica 30-day CD Auction Press Release #economy #MarketScreener https://t.co/GXh2AJS7u7 https://t.co/4tV8ge3FKr,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Brazil economists forecast more rate cuts ahead https://t.co/MVimfZn0x9,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Buyback Backlash Begins: Fed Will Limit Buybacks & Dividends For Companies Using Its Credit Facility https://t.co/qvANL8EAGI,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Central Bank of Nigeria Communique No. 128 of the Monetary Policy Committee Meeting of Jan... #Stock… https://t.co/Vhs3QezjMh,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Central banks don’t have as much monetary policy power as they used to, former BOE policy maker Ian McCafferty says https://t.co/LjFUOi4x2A",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Cleveland Fed President Loretta Mester said the coronavirus outbreak is a threat to the economy but doesn't yet jus… https://t.co/KpqpNnFL4L,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Efforts to support the faltering economy could extend to some form of direct yield curve control. New… https://t.co/Cd4JvxMiXA,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Fed Chair Jay Powell grilled on China's cryptocurrency plans, US response https://t.co/9tkOjL0blx by @readDanwrite https://t.co/urM93khqZo",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed Chair Jerome Powell was chided by a Democratic lawmaker for his attendance at a party thrown by Amazon CEO Jeff… https://t.co/BNq5I9PUqc,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed Chairman Jerome Powell puts lawmakers on notice that fiscal policy may need to play a bigger role countering do… https://t.co/URFHNRkmfh,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed minutes to tell a story,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed Officials Weigh Risks Of Covid-19 -- Update #economy #MarketScreener https://t.co/1pQjFOAdWi https://t.co/nxTApO6GEp,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed President Loretta Mester due to speak in 5 minutes.,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Fed removes reference to ""global developments"", has yet to blame global warming for repo crisis",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed’s Rosengren Says Pursuing 2% Inflation Could Distort Markets,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Federal Reserve Keeps Rates Steady and Sees Long Pause #currency #MarketScreener https://t.co/tpSm4ZImNv https://t.co/f5uwKiweEN,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Federal Reserve officials will feel comfortable maintaining their wait-and-see posture on interest rates after Frid… https://t.co/Jlpmp7kwVr,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed's 42-Day Repo 2x Oversubscribed In Scramble For Year End Liquidity https://t.co/skVPSppwaY,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed's Bullard said actions taken by the Fed and other authorities during this time period shouldn't be seen as stim… https://t.co/gJ9vd4Qttq,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed's Mester says central bank can watch and wait on interest rates,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed's Rosengren backs 'patient' approach to any interest-rate moves,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Fed's Williams says rates are 'in the right place' but policy is not set in stone,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Global Risks to Extend Czech Rate Lockdown: Decision Day Guide,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Heard on the Street: The Fed may need banks to lever up to absorb more activity, but it needs to do so in a way tha… https://t.co/m6nXfI4or7",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"In the battle of central-bank stimulus bazookas, the Fed is winning out https://t.co/dw2zb5Zi3b",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"In undertaking what will undoubtedly be its largest rescue effort ever, the Federal Reserve announced programs that… https://t.co/iMHp4NZFeV",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Indonesia's central bank says the New York Federal Reserve will provide it with a $60 billion repurchase facility t… https://t.co/8mWrf9uPDI,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Italy may be willing to compromise on its holdout against a German plan for further integration of the EU’s banking… https://t.co/6z5rU3nonk,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"LISTEN NOW: The Fed continues to make moves to combat the coronavirus crisis, including assuring limitless asset pu… https://t.co/2g1K81EdRO",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
LIVE: Fed Chair Powell testifies before the Senate Banking Committee https://t.co/RsYYaf1Et1,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Markets bet Fed is pushed to cut rates in coronavirus response https://t.co/4NDOpE6Kka https://t.co/8L2dYY8EYK,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Minneapolis Fed chief Neel Kashkari says monetary policy can play the kind of redistributing role once thought to b… https://t.co/urzkYwOgOy,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Morocco is considering tapping at least part of a $2.97 billion liquidity line with the IMF as the coronavirus outb… https://t.co/8Fn0bGuM7L,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
New Zealand central bank governor Adrian Orr may signal he's prepared to cut interest rates to cushion the economic... https://t.co/i8Oz63zrZK,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Norway's central bank governor says it's too early to reach any conclusions on the long term outlook for inflation https://t.co/Jy76GFLKm2,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Praet: ECB Needs Governments to Act,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Rabobank: ""Fed's Kashkari Has Just Come Out With A Jaw-Dropping Policy Shift"" https://t.co/8TYLEPXBXU",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"RBI May Cut Rates Later This Year, TS Lombard Says",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
RBI’s Long-Term Repo Operations Seen As Stealth Move To Bring Down Rates,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Spain to guarantee up to 80% of SME bank loans to ease virus impact #economy #MarketScreener https://t.co/SAmTS65y1z https://t.co/JFT2FzyZVp,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
The Bank of England's Financial Policy Committee says it's prepared to take further action as needed to help the fi… https://t.co/nXFVWsODV3,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
The Bank of England's Term Funding Scheme... #Stock #MarketScreener https://t.co/UYAUVEOvlM https://t.co/SeJVLxIyZA,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
The Committee lowers the CBR to 7.25PC #Stock #MarketScreener https://t.co/fUgL7df83o https://t.co/p3lSsTQ3JL,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"The consensus case for following the Fed is right, Ashok Bhatia of Neuberger Bergman tells @FerroTV… https://t.co/O4PII3Nx4S",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
The Fed mounted an extraordinary new array of programs to offset the 'severe disruptions' to the economy caused by… https://t.co/Q0oP8CE8Vy,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
The Federal Reserve has launched an array of programs aimed at helping the markets and economy through the coronavi… https://t.co/pEUAkq0LF0,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"The Federal Reserve System includes 12 districts. Using those numbers, 1-12, is a handy way to learn about the cent… https://t.co/cbNWuE9tqT",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"The FRED Blog: Since the end of the Great Recession, market-based measures of long-run inflation expectations have… https://t.co/0xHldQgKkG",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
The IMF may launch a new program that could back up the Federal Reserve's campaign to keep dollars flowing in the g… https://t.co/lKciLE5v3x,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
The Most Momentous Rate Decision This Month Isn’t at Fed or ECB,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"-The U.K. will go into full lockdown to stymie the spread of coronavirus
-The Fed offers to directly finance U.S. c… https://t.co/ruvvXSN2l8",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Top economists say that the spread of the new coronavirus outbreak makes it more likely that the Federal Reserve wi… https://t.co/tvoJevdk2y,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Two crisis-veteran Federal Reserve officials said the central bank has plenty of room for more moves following a fl… https://t.co/8tGk3P7TPq,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
"Two weeks later, no change, Fed ain't stopping the selling",1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
U.S. Fed preparing to buy new small business payroll loans: Wall Street Journal https://t.co/bKlfm9QFgB https://t.co/ZnUbuWVFFu,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
UK starts first stage of 330 billion pound loan guarantee scheme https://t.co/hZiqmzoZBr https://t.co/0z6Kisr3Oe,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Zambia’s kwacha staged a comeback on Tuesday after the central bank raised the amount of funds that commercial lend… https://t.co/oS097rGn8S,1,neutral,zeroshot/twitter-financial-news-sentiment (MIT)
Bank of America sees demand surge for paycheck protection loans https://t.co/6feALqK8zN,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
$HON - Honeywell says MAX production freeze to hurt 2020 sales growth https://t.co/ADon2RBcIz,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Africa retailer Jumia suspends e-commerce in Cameroon,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Amazon blames holiday delivery delays on winter storms and high demand https://t.co/TjLnFZBE44,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Beckhams’ business empire sees revenues drop 18% https://t.co/Vyukksr4NP,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
BREAKING: FDA issues ban on some fruit and mint flavored vaping products https://t.co/MxWx3AqSi8,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Bristol-Myers says trial of Opdivo plus Yervoy in melanoma treatment failed to meet main goal,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Casino Operator Wynn Resorts Is Losing Up To $2.6 Million Per Day From Coronavirus Shutdown,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"China Solar Group Flags Raw Material, Labor Shortages on Virus",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Fiat Chrysler Relies on Ram Growth as Europe Losses Mount,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"Ford recalls 262,000 pickup trucks with defective tailgate latches https://t.co/r1OmCaHlBs",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Fox says cable ad revenue was hurt by impeachment coverage last quarter,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
"ICYMI: Transport for London said Uber $UBER was not ""fit and proper"" to hold an operating license in London after a… https://t.co/6KXYb2e38V",0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Jetstar to cut capacity by 10% in January as pilots take industrial action,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
Lowe's to shut 34 Canadian stores as it reports revenue miss,0,negative,zeroshot/twitter-financial-news-sentiment (MIT)
