sentence,label
"operating result showed a loss of eur 2.9 mn , while a year before , it showed a profit of eur 0.6 mn .",0
"our customers include companies in the energy and process industry sectors , in particular .",1
"on preliminary estimate , the hotel will operate under the brand novotel .",1
investments in product development stood at 6.0 mln euro  $ 8.8 mln  .,1
the shares shall be acquired according to the rules of nasdaq omx helsinki and otherwise according to the rules related to acquisition of the company s own shares .,1
it is expected to be online by 2011 .,1
"in finland , the five largest brands control 90 % of the beer market .",1
"the maximum grade of the veneer yield is calculated , based on the dimensions and grades of the veneer products , as well as by iterating the places of the peeling axes and simulating the peeling process .",1
we are selling an information systems development business to the finns .,1
"initial estimated total value of the contract was 250 000 euros , excluding vat .",1
yvonne jones is owner of chameleon interiors .,1
"london afx - shares in rautaruukki corp have been upgraded to  hold  from  sell  by abn amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",2
"a total of 1,800,000 stock options were issued in the 2003 stock option scheme .",1
"the report profiles 158 companies including many key and niche players including major nonwovens manufacturers such as ahlstrom corporation , asahi kasei corporation , buckeye technologies , inc. , ei .",1
the energy sector accounted for approximately 33 % and the steel industry for about 57 % of the transportation volume .,1
the fair value of the company s investment properties went down to eur 2.768 billion at the end of 2009 from eur 2.916 billion a year earlier .,0
the company will be part of teleste s video and broadband solutions business area .,1
"ragutis , which is controlled by the finnish brewery , reported a 5.4-per-cent rise in beer sales to 10.44 million litres and held an 11.09-per-cent market share .",2
prices and delivery volumes of broadband products decreased significantly in 2005 .,0
financial terms were not disclosed .,1
what would you like to see changed on nokia s next attempt,1
the terms and conditions of the stock option scheme 2008 are available on the company s internet pages www.sanoma.com .,1
"upon establishment , the plan is directed to approximately 20 persons .",1
"alma media corporation press release march 25 , 2010 tyrv+ä+än sanomat purchase confirmed the business operations of tyrv+ñ+ñn sanomat oy will be transferred to suomen paikallissanomat oy .",1
nokia was up 0.12 pct to 16.70 eur after kicking off the morning in negative territory .,2
"jensen , njastein and mike critch , the head of dovre north america business unit , will report to toivola .",1
"according to the finnish-russian chamber of commerce , all the major construction companies of finland are operating in russia .",1
"in addition , the company is considering the start of production in russia .",1
"the report examines the medical equipment business structure and operations , history and products , and provides an analysis of its key medical equipment revenue lines .",1
feed companies suomen rehu and raisio do no import gmo feed .,1
"profitability  ebit %  was 13.9 % , compared to 13.1 % in the previous-year period .",2
talentum s net sales in september were smaller than expected .,0
"the acquired plant has an annual capacity of some 300,000 tonnes and most of its production is sold to domestic customers .",1
"svyturys-utenos alus , which is controlled by the nordic group baltic beverages holding  bbh  , posted a 6.1 percent growth in beer sales for january-september to 101.99 million liters .",2
"adp news  - feb 9 , 2009 - finnish computer services company proha oyj  hel  art1v  said today its net loss narrowed to eur 113,000  usd 146,000  for 2008 from eur 1.2 million for 2007 .",2
subscription sales decreased slightly .,0
pretax profit jumped to eur 21.9 million from eur 3.1 million .,2
the transaction is planned to be financed with a eur40m market-based loan granted by standard chartered bank hong kong .,1
"country  , switzerland sector  pharmaceuticals target  synosia therapeutics holding ag buyer  biotie therapies corp deal size in usd  129.4 m type  corporate acquisition financing  all-stock status  closed",1
finnish aktia group s operating profit rose to eur 17.5 mn in the first quarter of 2010 from eur 8.2 mn in the first quarter of 2009 .,2
"this action follows personnel negotiations concerning elcoteq se , finnish branch , elcoteq finland oy and elcoteq design center oy .",1
rapala said it estimates it will make savings of 1-2 mln eur a year by centralising its french operations at one site .,2
the total investment of the project will be approximately eur 36m .,1
"finnish construction company yit oyj said on november 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company tapiola real estate oy .",2
"cramo is a service company specialising in construction machinery and equipment rental and rental-related services , as well as the rental and sale of modular space .",1
"operating profit margin was 8.3 % , compared to 11.8 % a year earlier .",0
stockmann was established in 1862 in finland and it became the first foreign company to enter russia s retail trade market in 1989 .,1
"sampo bank s market share of lending was 13.6 % , down from 14.4 % in the first quarter of 2008 .",0
"its annual capacity is some 10,000 mw .",1
"boomeranger boats oy specialises in boat building and designs , manufactures and sells customised rigid inflatable boats rib primarily for the baltic sea market .",1
finnish talvivaara mining co hel  tlv1v said thursday it had picked bofa merrill lynch and jpmorgan nyse  jpm as joint bookrunners of its planned issue of convertible notes worth up to eur250m usd332m .,1
eps dropped to eur0 .2 from eur0 .3 .,0
the company expects its net sales in 2008 to increase 5-10 % from 2007 .,2
"last july , the group said it intended to relocate warehouse and office space in loudeac and saint marcel to morvillars , in the east of france , where it already operates a hook manufacturing and distribution unit .",1
the bank vtb24 provides mortgage loans to buy apartments in the complex at 11-13 % per annum in rubles .,1
"commenting on the deal , shane lennon , svp of marketing  product development at gypsii said",1
"the company operates through four principal divisions  consumer packaging  office papers  speciality papers , as well as market pulp and energy .",1
the group s net sales in 2007 were eur683 .6 m.,1
this could be us .,1
the company has some 410 employees and an annual turnover of eur65 .4 m. vaahto group is listed on the nordic exchange in helsinki .,1
"pcs digital guatemala has been using tecnomen s prepaid system in telgua fixed networks as well as code division multiple access , or cdma , and global system for mobile communication , or gsm , since 2003 .",1
"ethanol would be made from barley , and production could start in 2008 .",1
the acquisition is expected to take place by the end of august 2007 .,1
"elisa corporation will disclose its financial statements for 2006 on thursday , 8 february 2007 .",1
the terms and conditions of the year 2003 stock option scheme were published in a stock exchange release on 31 march 2003 .,1
"earnings per share  eps  amounted to eur1 .37 , down from eur2 .30 .",0
sales of mid-strength beer decreased by 40 % .,0
"cencorp would focus on the development , manufacture and marketing of standard products for production automation .",1
upm-kymmene said its has  not indicated any interest in any domestic consolidations  .,1
the company s share is quoted on nasdaq omx helsinki rautaruukki oyj  rtrks .,1
"as of july 2 , 2007 , the market cap segments will be updated according to the average price in may 2007 .",1
"in finland , the city of forssa has said it will not pay compensation to food industry companies hk ruokatalo and atria for the lye leak into tap water that occurred in march 2008 .",0
image data produced by the browser at the phone server is converted into a bitmapped image that is sent to the handset for display .,1
"adpnews  - feb 3 , 2010 - finland-based steel maker rautaruukki oyj  hel  rtrks  , or ruukki , said today it slipped to a larger-than-expected pretax loss of eur 46 million  usd 64.5 m  in the fourth quarter of 2009 from a",0
upm stock fell 3 percent to euro 12.49 $ 17.24 in early afternoon trading in helsinki .,0
27 january 2011 - finnish it solutions provider affecto oyj  hel  afe1v  said today it has won a eur1 .2 m  usd1 .6 m  contract from state-owned lithuanian social insurance institution  sodra  .,2
they will be sunk to a depth of some 360-380 metres and fixed to the bottom mud by vacuum .,1
"finland s leading metals group outokumpu said its fourth-quarter net profit more than tripled on the back of strong global demand for stainless steel , soaring base metal prices and proceeds from the sale of its technology unit .",2
the project is expected to be completed in 2009 .,1
the report will be emailed within 2 business days of an order .,1
"operating loss totalled eur 5.2 mn , compared to a loss of eur 3.4 mn in the corresponding period in 2008-2009 .",0
"liquid handling products include electronic and mechanical pipettes , disposable tips as well as pipette maintenance and calibration services for research institutions , healthcare and industrial laboratories .",1
"the refining margin for the year was $ 13.39 - bbl , compared to $ 10.46 - bbl in the prior year .",2
finnish cutlery and hand tools maker fiskars oyj abp  hel  fisas  said today its net profit rose to eur 24.1 million  usd 33.6 m  in the third quarter of 2010 from eur 17.9 million a year earlier .,2
a plumbing business has announced it is sponsoring a professional darts player .,1
the company is studying the feasibility of focusing most of its processed meat production in the vantaa facilities and the processing of fresh meat in the forssa facilities .,1
"the subsidiary will be responsible for filter sales , local assembly of filters and after market services in china .",1
salonen added that data shows producers  pulp inventories in north america are declining .,0
the contract value amounts to eur 2.4 million .,1
"we have come out with a decision which is based on our preliminary economic , operational and environmental findings ,  karvinen said .",1
it wo nt happen overnight .,1
"tallink silja attributes the significant drop to problems with the booking system that was taken into operation in october , the sale of trailer ferry  sky wind  and the route between stockholm and riga , which has won passengers from the helsinki-stockholm route .",0
"votorantim celulose e papel  vcp  is part of the votorantim group , a major brazilian conglomerate .",1
"the currency effect had a 3.0 pct , or 20 mln euro  $ 31.3 mln  , negative impact on the revenue .",0
"latin america currently accounts for approximately 40 % of sales at tecnotree , company president and ceo eero mertano recently told bnamericas .",1
production capacity will increase from 36 000 to 85 000 tonnes per year and the raw material will continue to be recycled paper and board .,2
"iso omena is based in the matinkyla district of the southern part of the city of espoo , southern finland .",1
"these include software development for internet and mobile telephone content , communications , value-added software , financial services , security applications , systems integration and electronics ,  ebrd informed .",1
its 168 asset management experts manage assets worth over eur 35 billion .,1
"finnish shipping company finnlines , of the grimaldi group , reports its net sales decreased to eur 241.8 mn in january-june 2009 from eur 384.0 mn in the corresponding period in 2008 .",0
"typically , the transmission power level can be decreased when the interference noise is above a predefined value .",1
"a. le coq special was developed for the bicentenary of the company and the trade mark , the brewer said .",1
"outotec oyj press release december 4 , 2009 10.30 am outotec establishes a new subsidiary in kolkata outotec has established a subsidiary in india in order to better serve its indian customers and to increase its business in the growing indian market .",2
deliveries by outotec will take place over 30 months .,1
"incap corporation stock exchange announcement 29 april 2010 at 1 p.m. invitation to a news conference on incap s interim report q1-2010 incap will publish its interim report for january-march 2010 on wednesday , 5 may 2010 .",1
sales rose 10 pct to 566 mln eur on the back of strong volume and favourable currency effects .,2
"sarantel , based in wellingborough , uk , designs high-performance antennas for portable wireless devices .",1
the policy was also aimed at making the companies more profitable and competitive .,2
"cargotec corporation , press release , august 26 , 2008 at 10 a.m. finnish time cargotec s macgregor business area providing marine cargo handling and offshore load handling solutions has received significant offshore crane retrofit order .",2
the estimated value of the deal is usd 9.2 million .,1
very recommendable  is the nokian z g2 according to the  adac judgement  in the latest summer tyre test of the german automobile association adac .,2
"profit after taxes was eur 0.1 mn , compared to eur -0.4 mn the previous year .",2
"therefore , the company s 2005 result will remain weaker than that of 2004 .",0
it also said its third quarter diluted eps came in at 0.34 eur compared with 0.16 eur in the same quarter a year ago .,2
"net cash from operating activities was a negative eur 0.3 mn , compared to eur 30.9 mn in 2009 .",0
the power generated annually by loviisa covers about 10 % of finland s electricity consumption .,1
"finnish bank of +àland reports operating profit of eur 2.2 mn in the first quarter of 2010 , down from eur 6.3 mn in the corresponding period in 2009 .",0
the value of the three-year contract is estimated at eur40m .,1
"the company is headquartered in sievi , finland , and is listed on the nordic exchange in helsinki .",1
"the business transfer will take effect from 1 january 2007 , and in connection with this 47 employees will transfer from elisa to daxtum as continuing employees .",1
"pre-tax loss totaled eur 0.3 mn , compared to a loss of eur 2.2 mn in the first quarter of 2005 .",2
"elcoteq s electronics manufacturing services  ems  business segment serves customers globally in engineering , manufacturing and fulfillment services .",1
"in 2009 , fiskars  cash flow from operating activities amounted to eur121m , up from eur97m in the previous year .",2
the plant will collect raw material from the baltic sea region .,1
"finnish management software solutions provider ixonos oyj net profit decreased to 369,000 euro  $ 575,000  for the first quarter of 2008 from 669,000 euro  $ 1.0 mln  for the same period of 2007 .",0
choose from a giant countdown with red head or rainbow trout -- or the giant shad rap in perch color .,1
"however , two of the previously ordered sets will start producing electricity at the end of october 2010 , it said .",1
"outotec said it won new orders worth 492.9 mln eur during the quarter , compared with 240.4 mln eur a year earlier .",2
the extracted filtrates are very high in clarity while the dried filter cakes meet required transport moisture limits tmlsfor their ore grades .,1
"the company s set of services include digital printing , printing preparation , offset-printing , after-treatment services and send out services .",1
"professional and consumer applications include personal navigation , personal safety , field and workflow management , and asset tracking .",1
"operating profit of operations in finland in the period under review totaled eur 11.3 mn , remaining at the 2005 level .",1
affectogenimap builds highly customised it solutions for its customers in finland and the baltic countries .,1
"adp news  - feb 12 , 2009 - finnish construction company lemminkainen oyj  hel  lem1s  said today its net profit decreased to eur 63.5 million  usd 81.1 m  for 2008 from eur 80.6 million for 2007 .",0
"additionally , the company will use the solutions to automate the preparation of financial statements according to ifrs standard .",1
the value of the firm s forestry holdings increased by sek 3.6 bn .,2
"vaisala s present weather detector measures visibility up to 20 km , as well as precipitation type and intensity .",1
"changes being announced today will be effective after the close of trading on friday , june 19 , 2009 .",1
the mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .,1
the pretax profit of the group s life insurance business increased to eur36m from eur27m .,2
cameco typically prices sales contracts using a 4060 ratio of fixed prices and spot prices .,1
"honkarakenne also decided yesterday to sell 88,500 of its b-series shares to key staff members for eur 2.90 per share .",1
"metso expects its net sales to increase by about 10 % in 2008 , at comparable exchange rates .",2
the transaction is expected to be finalized by dec 2009 .,1
"finnish talentum reports its operating profit increased to eur 20.5 mn in 2005 from eur 9.3 mn in 2004 , and net sales totaled eur 103.3 mn , up from eur 96.4 mn .",2
down to eur5 .9 m h1 09 3 august 2009 - finnish media group ilkka-yhtyma oyj  hel  ilk2s  said today its net profit fell 45 % on the year to eur5 .9 m in the first half of 2009 .,0
"the scheme for teliasonera and altimo is practically identical , except that it involves the merger of their stakes in vimpelcom and kyivstar .",1
completion of the transaction is subject to a final agreement and a due diligence process .,1
"raute , headquartered in nastola , finland , is a technology company serving the wood products industry worldwide .",1
"the ebrd is using its own funds to provide a 21.6 mln a loan while the b portion of 10 mln euros has been syndicated to two finnish commercial banks , nordea bank finland plc 7.7 mln euros and pohjola bank plc 2.3 mln euros .",1
n-viro operates processing facilities independently as well as in partnership with municipalities .,1
"the chain posted sales of 298 million euros for full 2005 , a rise of 19.5 percent , year-on-year .",2
"helsinki afx - salcomp , the mobile phone charger manufacturer , said it has appointed markku hangasjarvi as its new ceo , following the resignation of mats eriksson .",1
"basware s product sales grew strongly in the financial period , by 24 percent .",2
the department store division reported an increase in sales of 4 per cent .,2
"as with other stakeholders , comptel has been involved in the workshops , meetings and filed comments on the issues of greatest importance to the competitive sector of our industry .",1
"of these shares 29,659,239 are held by the company or its group companies and the number of outstanding shares and voting rights attached to the shares thus amounts to 322,705,218 .",1
"finnish it solutions provider affecto oyj hel  afe1v said today its slipped to a net loss of eur 115,000 usd 152,000 in the second quarter of 2010 from a profit of eur 845,000 in the corresponding period a year earlier .",0
"consisting of seven interconnected units , mega image s logistics center will be 347 metres in length and 12 metres in height .",1
the name of the newspaper publishing and printing division sanoma will be changed to sanoma news .,1
the operating margin came down to 2.4 % from 5.7 % .,0
"its product portfolio comprises harvesters , forwarders , harvester heads , as well as cranes and loaders .",1
"according to gallup food and farm facts , beef consumption totaled 99mn kilos in finland in 2007 .",1
"finnish scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled eur 94.7 mn in the first half of 2010 , down from eur 99.5 mn in the first half of 2009 .",0
analysts surveyed by thomson financial expected revenue of $ 69 million for the quarter .,1
"net sales rose by 25.5 % year-on-year to eur59 .6 m , as the number of chargers delivered went up by 41 % to 65.9 million pieces .",2
"the five-storey , eco-efficient building will have a gross floor area of about 15,000 sq m. it will also include apartments .",1
the issues identified by stonesoft affect a range of content inspection technology .,1
"in the first nine months of 2010 , the company s net loss narrowed to eur415 ,000 from eur7 .4 m for the corresponding period of 2009 .",2
"upm-kymmene www.upm-kymmene.com produces magazine papers and newsprint , as well as fine and specialty papers , converting materials and wood products .",1
finnish glass technology company glaston oyj abp net profit decreased to 2.6 mln euro  $ 3.8 mln  for the first nine months of 2007 from 7.8 mln euro  $ 11.4 mln  for the same period of 2006 .,0
a survey conducted by taloustutkimus for sampo life shows that companies are badly prepared to losing key staff members .,0
why not subscribe to the magazine,1
operating profit rose to eur 1.6 mn from eur 1.1 mn in the corresponding period in 2006 .,2
the company turned to earnings per share  eps  of eur 0.03 versus loss per share of eur 0.01 .,2
"if honkarakenne starts production there , it will need a partner for sawmill operations .",1
the closing of such transaction took place today .,1
"olvi , which controls a 94 percent stake in ragutis through a. le coq , said in its annual report published earlier this year that the lithuanian brewery s sales reached 15.04 million euros last year , a rise of 20.4 percent from 12.49 million euros in 2004 .",2
below are unaudited consolidated results for aspocomp group under ifrs reporting standards .,1
this amount will not be included in the pensionable salary .,1
"finnish metso paper has been awarded a contract for the rebuild of sabah forest industries   sfi  pulp mill in sabah , malaysia .",2
pretax loss totaled eur 117mn compared to a loss of eur 65mn in the corresponding period .,0
"capman , an asset manager , has eur 3bn worth of assets under management in the nordic region .",1
"revenue was slightly down , at x20ac 495 million $ 634 million , compared to x20ac 497 million a year earlier .",0
"previously , the plant was expected to be completed by the end of 2008 .",1
m-real s sales are expected to have increased by 4 % year-on-year to eur609m in the second quarter of 2010 .,2
"the steelmaker said that the drop in profit was explained by the continuing economic uncertainty , mixed with the current drought in bank lending , resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations .",0
"thus the group s balance sheet will have about eur 25.8 million of goodwill , the company added .",1
"operating profit was eur 9.8 mn , compared to a loss of eur 12.7 mn in the corresponding period in 2009 .",2
finnish investment company neomarkka is the main owner of kuitu finland s successor .,1
"the company said that the operations will be sold to a newly established company , cps gmbh , where the present management of the plastics business is a co-owner .",1
"the broker started upm-kymmene , stora enso and sappi with  equal-weight  recommendations and holmen and norske skog with  underweight  ratings .",1
"for example , net sales increased by 5.9 % from the first quarter , and ebitda increased from a negative eur 0.2 mn in the first quarter of 2009 .",2
"sponda is a property investment company , specialising in commercial properties in the largest cities in finland and russia .",1
"operating profit totalled eur 7.0 mn , up from a loss of eur 4.0 mn in the second quarter of 2009 .",2
"the firm s uk head office is in rugby road , lutterworth .",1
"utah s capital wanted to be the next u.s. headquarters of amer sports corp. , a ski-equipment company .",1
"salcomp s charger manufacturing plant in india is located in the nokia telecom park in the state of tamil nadu , in the eastern part of india .",1
"adp news  - oct 29 , 2008 - finnish lifting equipment maker konecranes oyj  omx  kcr1v  said today that its net profit rose to eur 116.6 million  usd 149.1 m  in the first nine months of 2008 from eur 73.6 million for the s",2
"financial statements include the consolidated financial statements of the group , the board of directors  report , the auditors  report and the corporate governance statement .",1
altogether 150 subjects with mildly elevated cholesterol levels participated in the four-month long intervention .,1
operating profit rose from eur 1.94 mn to eur 2.45 mn .,2
"the world s second largest stainless steel maker said net profit in the three-month period until dec. 31 surged to euro603 million us$ 781 million , or euro3 .33 us$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .",2
"thus the method will cut working costs , and will fasten the planning and building processes .",2
"finnish steel maker rautaruukki oyj  ruukki  said on july 7 , 2008 that it won a 9.0 mln euro  $ 14.1 mln  contract to supply and install steel superstructures for partihallsforbindelsen bridge project in gothenburg , western sweden .",2
"the marubeni group focuses on creating  value chain  from upstream to downstream , encompassing a wide variety of business fields , including oil  gas , metals , mineral resources , foods , pulp  paper and chemicals , among others .",1
negotiations with representatives of the personnel regarding the restructuring process have now been ended .,1
no financial details of the deployment were disclosed .,1
"financial , strategic and operational factors are considered .",1
"name of applicant  jot automation oyname of inventor  mammila tuomo , piirainen mika and kellokoski mikaapplication no.  2424-kolnp-2008 adate of filing of application  16-06-2008publication date  30012009",1
"however , the net sales declined to eur 803.6 million from eur 1.2 billion .",0
finnish laboratory liquid handling and diagnostic test systems developer biohit oyj omx helsinki  biobv issued on tuesday 3 june a profit warning for the financial year 2008 .,0
"the company said that currently the french distribution unit ragot is located in loudeac , normandy , the distribution unit waterqueen and line supplier tortue in saint marcel in mid-france and the hook manufacturing unit vmc and hook distribution unit vmc europe in morvillars .",1
"deliveries of nokia 1112 , nokia 2310 and nokia 2610 are expected to start in the second quarter of 2006 .",1
the business to be divested generates consolidated net sales of eur 60 million annually and currently has some 640 employees .,1
"for 2009 , net profit was eur3m and the company paid a dividend of eur1 .30 apiece .",1
after 1 april 2007 cencorp will not have any own employees in the territory .,1
"prothious engineering  www.prothious.com  employs more than 1,000 and has a large portfolio of projects and an annual detailing capacity of more than 100,000 tonnes .",1
ebit excluding non-recurring items was estimated to increase from 2009 .,2
"previously , the company anticipated its operating profit to improve over the same period .",2
"the negotiations concern personnel of cencorp corporation and singulase oy as whole in finland and in sweden , the company said .",1
"stora enso s business in north america has annual capacity of about 3 million tons and employs about 4,350 people .",1
"the equipment will be made at vaahto s plant in hollola in finland , and delivery is scheduled for the first quarter of 2009 .",1
rsa s shares closed at 156.9 p at the time of going to press .,1
"profit for the period was eur 10.9 mn , down from eur 14.3 mn in 2009 .",0
"both operating profit and turnover for the nine-month period increased , respectively from eur2 .4 m and eur43 .8 m , as compared to the corresponding period a year ago .",2
"in total , more than 3000 surveillance cameras will be handled and managed according to a variety of needs , the company said .",1
"in food trade , sales amounted to eur320 .1 m , a decline of 1.1 % .",0
"suominen corporation estimates that the cost-cutting program that started in autumn 2005 , higher sales prices , and expected growth in volume of wet wipes , will make the company s operations more profitable .",2
"due to rapid expansion , the market share of tallink in terms of passenger carriage through tallinna sadam port of tallinn totaled 55 percent in november against 45.7 percent in november 2005 .",2
scanfil issued a profit warning on 10 april 2006 .,0
"nokia shares hit 13.21 euros on friday , down 50 percent from the start of the year in part because of the slow introduction of touch-screen models .",0
"currently , the company uses eight similar reach stackers and four empty container handlers by konecranes .",1
"cardona slowed her vehicle , turned around and returned to the intersection , where she called 911 .",1
the acquisition will have an immediate positive impact on aspocomp s financial result .,2
"the redesigned crushing circuit has been in operation since the start of september and its overall production rate on a weekly basis is in excess of an average of 40,000 tonnes a day .",1
kone shares dropped 4.1 percent to x20ac 43 us$ 55.77 in helsinki .,0
"the dividend is payable on february 1 , 2010 to shareholders of record on january 19 , 2010 .",1
the appointments will be in force until the new ceo has been appointed .,1
"fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , wartsila corporation .",1
"nevertheless , its market share rose to 49.14 percent from 48.51 percent a year earlier .",2
"the copying , republication or redistribution of afx news content , including by framing or similar means , is expressly prohibited without the prior written consent of afx news .",1
finnish-swedish tietoenator is expanding its business quickly in russia .,2
elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,1
"profit per share was eur 1.03 , up from eur 0.87 .",2
the bank sees a potential for getinge share to rise .,2
finnish media group talentum has issued a profit warning .,0
microsoft last week also issued the first patch for the windows 7 operating system beta it had released days earlier .,1
the bank is also examining the benefits of transferring the swedish business to operate as a branch office so that the operations would be governed by finland s laws .,1
"leed is an internationally recognized green building certification system , developed by the u.s. green building council .",1
"ssh communications security corporation is headquartered in helsinki , finland .",1
"the result will also be burdened by increased fixed costs associated with operations in china , and restructuring costs in japan .",0
the value of the contracts is about eur 3.3 mn .,1
"managing director s comments   net sales for the first quarter were notably lower than a year before , especially in finland , russia and the baltic countries .",0
directors and shareholders alike should ask why these practices were allowed to continue .,1
"in the second quarter of 2010 , the group s net profit rose to eur3 .1 m from eur2 .5 m in april-june 2009 .",2
"in the first quarter of 2010 , the mark-to-market result was a pretax profit of eur 133 million versus a loss of eur 32 million in the same period last year .",2
"sales in latin america increased by 42 % to eur 432mn , and a total of 8.7 mn mobile devices were sold in the area , representing an increase of 32 % from the corresponding period in 2009 .",2
the front surfaces of these valve plates are directed towards each other .,1
"the company said that 80 % of the shares of the holding company will be sold to meadville holdings limited , a hong kong listed parent company of the meadville group .",1
"net profit in the three months through march 31 fell to  x20ac  103 million  us$ 165 million  from  x20ac  131 million a year earlier , the finnish company said .",0
rapala aims to move the distribution unit ragot from loudeac in bretagne and the distribution unit waterqueen and the fishing line supplier tortue from saint marcel in central france to morvillars .,1
sanoma news  advertising sales decreased by 22 % during the year .,0
"foundries division reports its sales increased by 9.7 % to eur 63.1 mn from eur 57.5 mn in the corresponding period in 2006 , and sales of the machine shop division increased by 16.4 % to eur 41.2 mn from eur 35.4 mn in the corresponding period in 2006 .",2
an earn-out payment of up to 4.0 mln euro  $ 5.3 mln  can also be paid depending on intellibis financial performance in 2007 .,1
"the maximum amount of the capital loan will be eur30m and the minimum subscription -- eur10 ,000 .",1
the share subscription period for stock options 2007a is between 1 april 2010 and 31 march 2012 .,1
coffee will be served starting at 1430 eet as well as after the event .,1
"however , the orders received during the period under review fell by 17 % quarter-on-quarter from the eur 213 million recorded in the second quarter of 2010 .",0
"vaahto pulp  paper , of finnish vaahto group , has been awarded an order to renovate finnish-swedish forest industry company stora enso s paperboard machine at the ingerois board mill in finland .",2
"the baltimore police and fire pension , which has about $ 1.5 billion , lost about $ 3.5 million in madoff ponzi scheme .",0
"talentum expects that the net sales of its core business will increase in 2008 , compared to 2007 .",2
"over the years , the color orange has become synonymous with quality .",1
"finnish silicon wafer technology company okmetic oyj omx helsinki  okm1v reported on thursday 30 october an operating profit of eur7 .4 m for january-september 2008 , up from eur6 .1 m in the corresponding period in 2007 .",2
the combined value of the orders is eur 45mn .,1
"cents the profile contains business operations , the company history , major products and services , prospects , key competitors , structure and key employees , locations and subsidiaries .",1
they want my credit card info and my personal details .,1
her present position is the director of stockmann s international department stores .,1
this wood lacquered clock comes with a stripy hand-crocheted cover .,1
the elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons  eur 32 mln  for the fifth quarter running .,0
the exercise price of the option will be based on safran software solutions  license and maintenance sales as well as the result of the company .,1
"in addition , cramo and peab have signed exclusive five-year rental agreements in finland and have extended their existing rental agreements in the swedish market for another five years .",2
"adpnews  - may 4 , 2010 - finnish cutlery and hand tools maker fiskars oyj abp  hel  fisas  said today its net profit declined to eur 12.9 million  usd 17m  in the first quarter of 2010 from eur 17 million in the correspond",0
"mn , and pretax profit to eur 46.4 mn from eur 35.8 mn in the third quarter of 2006 .",2
the value of the order is nearly eur400m .,1
